emp_id,name,age,department,salary
62,Kriti Jain,62,Marketing,30810.07
63,Tara Jain,40,HR,22359.09
64,Kavish Raina,50,Marketing,33154.19
65,Kriti Sharma,32,HR,58894.08
66,Kavish Paraswar,63,Finance,149411.01
67,Rina Kamble,63,Finance,107852.23
68,Tara Jain,22,Finance,42457.72
69,Vaidehi Khatri,62,HR,136515.42
70,Kavish Sharma,34,Sales,113734.99
71,Akanksha Raina,34,Marketing,164924.19
72,Kavish Raina,34,Finance,33488.42
73,Rohit Patel,53,Finance,97117.49
74,Kavish Desai,51,Marketing,169584.73
75,Vaidehi Sharma,34,Finance,118689.11
76,Akanksha Patel,61,Engineering,138030.54
77,Vaidehi Patel,64,Marketing,62720.99
78,Rohit Jain,23,HR,106556.52
79,Agnijeet Sharma,55,Support,125621.25
80,Akanksha Desai,51,Support,112700.67
81,Rohit Desai,57,Support,65723.16
82,Rohit Khatri,40,HR,35300.54
83,Sanjay Patel,56,Support,115938.0
84,Sanjay Patel,65,Marketing,148808.05
85,Agnijeet Khatri,18,Support,93590.8
86,Kavish Sharma,63,Engineering,171760.72
87,Tara Patel,23,Sales,29806.66
88,Kriti Raina,36,HR,99333.07
89,Tara Kamble,20,Support,73182.69
90,Sanjay Desai,46,Marketing,149671.38
91,Tara Paraswar,25,Sales,113665.51
92,Agnijeet Khatri,53,Support,108679.28
93,Kriti Sharma,46,Sales,95883.59
94,Tara Kamble,28,HR,167721.06
95,Kavish Kamble,20,Sales,117906.42
96,Kavish Sharma,64,Marketing,105720.04
97,Akanksha Raina,45,Sales,59097.05
98,Akanksha Kamble,65,Marketing,79692.68
99,Sanjay Jain,54,Engineering,23807.75
100,Rohit Jain,36,Sales,28624.61
101,Sanjay Sharma,57,Sales,169729.13
102,Akanksha Sharma,36,Marketing,98037.69
103,Kavish Paraswar,37,Engineering,156077.94
104,Kriti Jain,44,Marketing,80168.23
105,Rohit Paraswar,20,Marketing,24656.26
106,Kriti Jain,46,Engineering,114733.7
107,Kriti Jain,47,Support,103878.82
108,Vaidehi Kamble,57,Marketing,38729.14
109,Kriti Sharma,48,Marketing,72797.62
110,Rohit Sharma,63,HR,21669.72
111,Kavish Kamble,42,Engineering,83631.62
112,Kriti Raina,33,Support,147308.45
113,Vaidehi Jain,30,Sales,140385.74
114,Rohit Patel,61,Sales,57738.05
115,Vaidehi Jain,36,Support,187649.58
116,Vaidehi Jain,29,Finance,138343.29
117,Akanksha Jain,46,Sales,103072.16
118,Tara Raina,64,Finance,196207.91
119,Amit Desai,38,Finance,27953.25
120,Kriti Desai,41,Finance,141341.07
121,Sanjay Paraswar,22,Finance,88483.0
122,Agnijeet Sharma,27,HR,61765.08
123,Rina Raina,60,Support,167480.41
124,Sanjay Sharma,21,HR,23236.19
125,Vaidehi Kamble,50,HR,41423.04
126,Kavish Khatri,51,HR,183061.5
127,Sanjay Desai,18,Support,90811.98
128,Agnijeet Desai,21,Finance,32846.55
129,Kriti Paraswar,64,HR,75657.54
130,Agnijeet Patel,45,Marketing,180606.21
131,Sanjay Patel,52,Finance,163752.47
132,Amit Jain,62,Finance,121104.82
133,Rina Raina,45,Support,76857.52
134,Agnijeet Khatri,54,Support,80667.83
135,Rina Jain,56,Engineering,121746.26
136,Rina Khatri,57,Finance,26419.13
137,Kriti Paraswar,64,HR,198272.08
138,Akanksha Patel,25,Engineering,57903.01
139,Tara Khatri,36,HR,128985.82
140,Akanksha Desai,46,Engineering,191507.96
141,Agnijeet Paraswar,61,HR,134950.83
142,Akanksha Jain,32,Support,39445.92
143,Vaidehi Khatri,51,Marketing,121600.72
144,Kavish Khatri,58,Sales,192723.03
145,Rina Jain,33,Sales,126846.91
146,Rina Paraswar,51,Support,90648.95
147,Vaidehi Sharma,48,Marketing,95974.27
148,Sanjay Jain,36,HR,24768.42
149,Vaidehi Desai,44,Sales,64513.09
150,Tara Sharma,33,Finance,97078.34
151,Agnijeet Khatri,52,Sales,161557.62
152,Tara Sharma,29,Engineering,49106.83
153,Rina Raina,57,Marketing,115682.66
154,Rina Khatri,36,Marketing,134271.97
155,Kavish Desai,56,Marketing,162837.03
156,Rohit Sharma,61,Finance,127396.83
157,Kavish Sharma,65,Finance,46097.81
158,Tara Desai,39,Sales,84731.47
159,Sanjay Raina,30,Finance,142723.99
160,Vaidehi Khatri,50,Sales,31698.03
161,Rina Patel,49,Sales,124872.14
162,Akanksha Patel,50,Finance,35788.52
163,Sanjay Patel,57,Engineering,37522.46
164,Rina Desai,38,Engineering,198139.12
165,Amit Paraswar,20,HR,162484.88
166,Rohit Khatri,57,Marketing,30185.74
167,Tara Sharma,56,HR,42780.8
168,Rina Kamble,21,Sales,165937.99
169,Amit Jain,34,HR,170570.74
170,Rohit Patel,31,HR,113748.35
171,Akanksha Kamble,40,Support,78406.75
172,Rina Patel,20,Sales,118575.16
173,Kavish Desai,55,Engineering,112618.12
174,Agnijeet Raina,19,Engineering,76167.15
175,Vaidehi Raina,55,Finance,106533.76
176,Amit Sharma,29,Sales,133331.59
177,Agnijeet Kamble,53,Marketing,131178.56
178,Amit Paraswar,60,Sales,102543.42
179,Kavish Paraswar,61,Sales,130519.74
180,Akanksha Desai,55,Engineering,31495.31
181,Agnijeet Raina,64,Support,183679.19
182,Vaidehi Paraswar,25,HR,167313.72
183,Vaidehi Desai,65,Finance,110423.99
184,Sanjay Raina,65,Sales,72493.04
185,Sanjay Desai,30,HR,172236.12
186,Kavish Desai,26,Engineering,112851.73
187,Tara Patel,26,Finance,89879.8
188,Amit Khatri,19,Sales,88862.5
189,Kriti Paraswar,51,Engineering,131059.96
190,Vaidehi Desai,30,Marketing,48854.54
191,Rohit Jain,21,Support,131644.72
192,Rina Raina,30,HR,20812.02
193,Vaidehi Khatri,25,Support,49301.01
194,Akanksha Raina,38,Support,48513.02
195,Agnijeet Desai,38,Sales,199497.95
196,Tara Jain,26,HR,166513.2
197,Kavish Khatri,59,Finance,83863.83
198,Rina Sharma,49,Support,147930.25
199,Sanjay Kamble,43,Finance,33328.54
200,Kavish Kamble,38,Marketing,37768.17
201,Tara Jain,52,Finance,29965.99
202,Amit Jain,37,Marketing,68134.45
203,Akanksha Jain,54,Sales,132901.18
204,Sanjay Khatri,20,Marketing,79702.5
205,Rina Patel,50,Engineering,166861.5
206,Kriti Kamble,31,Finance,176165.93
207,Amit Sharma,19,Marketing,147584.49
208,Agnijeet Khatri,36,Engineering,73896.48
209,Amit Jain,47,Engineering,27946.25
210,Kavish Jain,41,Engineering,196485.6
211,Sanjay Kamble,58,Marketing,132679.43
212,Kriti Paraswar,57,Marketing,174931.82
213,Akanksha Jain,40,Support,132105.48
214,Kriti Jain,33,Support,90453.09
215,Kriti Jain,38,Support,116089.64
216,Akanksha Raina,33,HR,112877.71
217,Rohit Raina,35,Engineering,39764.43
218,Vaidehi Sharma,31,Support,177558.83
219,Kriti Desai,22,Sales,38059.57
220,Sanjay Raina,21,Finance,90918.15
221,Agnijeet Kamble,20,Finance,121208.66
222,Sanjay Jain,33,Sales,46087.67
223,Vaidehi Paraswar,54,Sales,77826.68
224,Vaidehi Sharma,52,Support,65437.56
225,Agnijeet Sharma,64,Finance,27303.32
226,Akanksha Sharma,50,Engineering,138194.95
227,Agnijeet Desai,35,Marketing,87346.68
228,Sanjay Desai,32,Support,129793.87
229,Tara Desai,39,Marketing,25703.54
230,Agnijeet Raina,19,Finance,134985.15
231,Vaidehi Patel,22,Engineering,98449.91
232,Kriti Kamble,41,Support,140291.54
233,Kriti Desai,49,Finance,28395.79
234,Sanjay Khatri,46,Finance,108079.62
235,Amit Sharma,24,Marketing,116060.37
236,Tara Jain,50,Marketing,102066.28
237,Rina Patel,27,HR,152690.35
238,Rohit Khatri,34,Support,105925.48
239,Kriti Raina,57,HR,48067.74
240,Kavish Patel,28,HR,151017.56
241,Kavish Desai,36,HR,35728.08
242,Sanjay Khatri,62,Engineering,89591.08
243,Akanksha Kamble,51,HR,199982.68
244,Kriti Desai,22,Sales,167287.71
245,Amit Raina,23,Marketing,117674.65
246,Vaidehi Raina,59,HR,132823.69
247,Vaidehi Patel,55,Engineering,36108.11
248,Agnijeet Khatri,62,HR,148879.46
249,Amit Patel,28,Engineering,77860.72
250,Akanksha Khatri,58,Engineering,161098.8
251,Akanksha Paraswar,65,Finance,110891.08
252,Vaidehi Kamble,57,Engineering,32272.87
253,Rina Raina,52,HR,156469.48
254,Rohit Paraswar,23,Marketing,198568.28
255,Sanjay Patel,47,Marketing,185016.92
256,Tara Kamble,60,Marketing,53120.74
257,Rina Raina,49,Engineering,98821.08
258,Rohit Paraswar,26,Engineering,164503.23
259,Agnijeet Sharma,32,Finance,156453.5
260,Rina Sharma,30,Marketing,104963.17
261,Akanksha Jain,46,Finance,103016.92
262,Tara Kamble,62,HR,109369.1
263,Rina Kamble,26,HR,31996.92
264,Rina Khatri,29,Finance,148839.23
265,Vaidehi Kamble,21,Finance,119338.67
266,Sanjay Khatri,37,Sales,116483.49
267,Akanksha Raina,61,Marketing,163428.06
268,Agnijeet Desai,52,Marketing,138006.51
269,Vaidehi Khatri,65,Finance,173725.9
270,Akanksha Patel,51,Finance,100567.25
271,Akanksha Paraswar,46,HR,76420.93
272,Sanjay Jain,36,HR,144794.11
273,Rohit Kamble,57,Support,173205.66
274,Kriti Desai,25,HR,83777.16
275,Tara Jain,49,Support,97510.4
276,Amit Sharma,45,Support,80122.94
277,Rohit Khatri,48,Marketing,100041.7
278,Akanksha Paraswar,46,Engineering,84098.99
279,Agnijeet Raina,50,Finance,192427.72
280,Tara Patel,35,Finance,72066.59
281,Akanksha Kamble,34,HR,40974.25
282,Amit Kamble,62,Sales,113462.89
283,Kriti Khatri,34,Support,47128.12
284,Amit Jain,63,HR,50192.31
285,Tara Kamble,35,Marketing,30130.92
286,Vaidehi Jain,52,Finance,82268.73
287,Akanksha Raina,52,Support,133467.09
288,Agnijeet Raina,30,Finance,80711.66
289,Agnijeet Khatri,26,Sales,162737.52
290,Sanjay Jain,61,HR,171156.83
291,Agnijeet Jain,61,Engineering,168781.84
292,Amit Kamble,55,Finance,167565.71
293,Akanksha Khatri,42,Engineering,160914.05
294,Rohit Khatri,23,HR,57743.95
295,Kriti Sharma,25,Finance,74111.99
296,Tara Patel,18,Support,34407.45
297,Amit Kamble,55,HR,192443.6
298,Amit Patel,33,Engineering,170863.25
299,Amit Jain,51,Support,63694.32
300,Rohit Paraswar,50,Marketing,143831.7
301,Amit Khatri,41,Sales,35935.39
302,Rina Raina,62,Engineering,47671.86
303,Kavish Paraswar,18,Sales,39977.04
304,Kriti Paraswar,51,HR,98143.52
305,Sanjay Jain,43,Sales,21009.9
306,Kriti Desai,37,Engineering,131575.34
307,Rohit Khatri,22,Sales,195716.73
308,Vaidehi Sharma,38,Engineering,111055.38
309,Amit Kamble,57,HR,126845.26
310,Tara Jain,61,Engineering,186830.67
311,Rohit Khatri,65,Marketing,35320.24
312,Kavish Paraswar,40,Support,57726.49
313,Agnijeet Desai,34,HR,63625.38
314,Amit Jain,45,Support,46823.1
315,Vaidehi Raina,33,Support,147971.36
316,Sanjay Jain,28,Support,21219.17
317,Rohit Kamble,55,Engineering,80145.7
318,Vaidehi Jain,26,Support,84600.09
319,Sanjay Patel,38,Support,133974.79
320,Rina Kamble,47,HR,141014.04
321,Amit Jain,64,Engineering,103205.94
322,Kavish Kamble,19,Marketing,60914.59
323,Vaidehi Raina,33,Marketing,57533.63
324,Tara Kamble,23,HR,82576.2
325,Rohit Patel,18,Support,118695.01
326,Kriti Kamble,27,Marketing,72814.28
327,Agnijeet Desai,29,Support,67051.04
328,Akanksha Patel,48,Sales,160454.26
329,Sanjay Jain,35,HR,155558.84
330,Agnijeet Jain,25,Support,172802.16
331,Rina Desai,27,HR,25856.46
332,Kavish Sharma,46,Finance,73030.18
333,Amit Kamble,57,Finance,56415.54
334,Akanksha Patel,39,Marketing,27415.82
335,Agnijeet Desai,61,Engineering,104893.91
336,Kavish Paraswar,57,Support,125327.79
337,Kriti Raina,32,Marketing,109411.04
338,Tara Sharma,38,Engineering,68507.48
339,Rina Kamble,62,Engineering,29745.29
340,Kriti Jain,41,Marketing,150809.73
341,Vaidehi Jain,29,Support,40145.48
342,Kavish Paraswar,47,Support,157016.39
343,Sanjay Patel,19,Support,24039.03
344,Akanksha Kamble,18,Engineering,196177.4
345,Kavish Patel,51,Sales,84041.14
346,Akanksha Kamble,43,HR,86752.41
347,Amit Desai,31,Sales,199574.27
348,Sanjay Sharma,41,Support,112767.68
349,Rina Jain,39,HR,166100.96
350,Sanjay Kamble,33,Finance,43322.09
351,Tara Jain,35,Finance,58021.33
352,Vaidehi Sharma,54,Engineering,65035.78
353,Amit Sharma,36,Support,28556.75
354,Sanjay Kamble,20,Support,187472.86
355,Vaidehi Sharma,23,Marketing,97218.59
356,Sanjay Desai,23,HR,119312.01
357,Kavish Khatri,18,Support,115262.15
358,Vaidehi Desai,30,HR,30796.05
359,Tara Sharma,36,Support,66950.94
360,Akanksha Khatri,62,Engineering,117817.79
361,Sanjay Raina,50,Sales,38173.72
362,Tara Patel,54,Engineering,164107.38
363,Kriti Khatri,49,Sales,157050.65
364,Amit Paraswar,39,Marketing,93913.74
365,Agnijeet Desai,31,HR,92623.01
366,Agnijeet Paraswar,23,Finance,99670.96
367,Amit Patel,33,HR,113098.26
368,Rohit Paraswar,45,Support,55340.61
369,Rina Raina,43,Marketing,170608.75
370,Rina Khatri,37,HR,182209.74
371,Kriti Raina,41,Support,171253.97
372,Sanjay Patel,45,Marketing,72549.7
373,Kriti Kamble,21,Support,72379.69
374,Rina Kamble,34,Marketing,34905.33
375,Rohit Raina,56,Sales,155167.65
376,Akanksha Kamble,25,Finance,103620.36
377,Amit Desai,20,Finance,52475.53
378,Rohit Paraswar,27,Engineering,48080.36
379,Vaidehi Desai,57,Support,97526.66
380,Kavish Raina,26,Sales,144623.64
381,Kavish Khatri,38,Finance,36537.21
382,Kriti Sharma,37,HR,175307.3
383,Kriti Raina,52,Sales,29635.14
384,Vaidehi Khatri,25,Engineering,91458.54
385,Agnijeet Kamble,53,Finance,73980.66
386,Agnijeet Sharma,22,Marketing,116320.73
387,Tara Desai,56,Sales,139531.1
388,Tara Desai,41,Engineering,161904.96
389,Amit Raina,64,HR,113490.48
390,Kriti Sharma,35,Support,107652.22
391,Agnijeet Desai,40,Sales,78987.0
392,Rina Jain,33,Finance,82301.5
393,Kriti Jain,28,Engineering,129142.58
394,Amit Jain,42,HR,47561.18
395,Rohit Raina,57,HR,191812.96
396,Rina Jain,64,Engineering,162058.77
397,Tara Patel,37,Support,183488.15
398,Tara Khatri,58,Support,45374.85
399,Akanksha Desai,61,Engineering,123119.16
400,Sanjay Paraswar,60,HR,152216.34
401,Amit Jain,28,Finance,147867.29
402,Amit Sharma,58,Engineering,90343.43
403,Kriti Desai,49,Finance,107293.72
404,Vaidehi Jain,54,HR,98039.07
405,Sanjay Jain,60,Engineering,20077.74
406,Vaidehi Patel,34,HR,106182.11
407,Kriti Khatri,57,Support,194595.95
408,Kavish Kamble,44,Marketing,173928.67
409,Kriti Patel,35,Finance,22982.58
410,Amit Patel,51,Finance,179548.1
411,Rina Paraswar,45,Finance,33861.23
412,Agnijeet Patel,47,Sales,34490.48
413,Rina Raina,41,Marketing,107292.3
414,Tara Raina,19,Sales,73452.36
415,Sanjay Desai,63,Sales,130021.07
416,Kriti Khatri,41,Sales,87608.19
417,Sanjay Jain,49,Marketing,174145.62
418,Sanjay Sharma,38,Engineering,62952.77
419,Kriti Sharma,33,Support,32036.23
420,Agnijeet Sharma,35,Sales,183519.59
421,Vaidehi Patel,33,Marketing,35394.12
422,Akanksha Jain,54,Sales,98618.83
423,Rina Khatri,30,Sales,130453.12
424,Rina Patel,45,Engineering,192747.12
425,Rohit Desai,64,HR,97624.11
426,Sanjay Khatri,62,Engineering,155783.42
427,Kavish Patel,35,HR,80118.82
428,Amit Kamble,54,HR,174380.56
429,Vaidehi Raina,37,Sales,132886.8
430,Vaidehi Khatri,37,Support,166597.44
431,Akanksha Raina,53,Engineering,129030.05
432,Kriti Patel,40,HR,190185.63
433,Vaidehi Sharma,41,Support,173294.65
434,Rohit Sharma,37,Support,195076.79
435,Amit Jain,40,HR,192357.91
436,Amit Raina,53,Finance,85652.13
437,Akanksha Raina,45,Support,168738.49
438,Rina Khatri,51,Support,187825.29
439,Kavish Patel,22,Finance,62022.6
440,Sanjay Desai,54,Engineering,92834.62
441,Rohit Paraswar,41,Finance,80738.41
442,Rina Patel,35,Engineering,105638.35
443,Rohit Kamble,23,Engineering,153150.91
444,Agnijeet Jain,28,Marketing,184951.88
445,Kavish Sharma,52,Marketing,126809.7
446,Amit Kamble,19,Engineering,174537.72
447,Tara Raina,18,Sales,49510.42
448,Rohit Desai,23,Support,136619.79
449,Kriti Sharma,40,HR,114924.84
450,Amit Jain,38,HR,139352.37
451,Kavish Raina,43,Sales,155857.58
452,Kriti Khatri,31,Sales,134098.84
453,Kavish Khatri,53,Marketing,153212.17
454,Rina Sharma,45,HR,58923.64
455,Agnijeet Khatri,25,Sales,167950.53
456,Kavish Khatri,35,HR,140669.69
457,Agnijeet Kamble,25,Support,132214.97
458,Kavish Khatri,26,Finance,166151.74
459,Sanjay Sharma,41,Support,61410.31
460,Amit Paraswar,61,HR,40993.34
461,Kavish Paraswar,26,Engineering,184572.42
462,Tara Desai,48,HR,167499.23
463,Amit Raina,26,Marketing,192184.67
464,Kavish Raina,58,Finance,117594.44
465,Vaidehi Desai,20,Sales,196238.7
466,Vaidehi Raina,58,Engineering,154707.12
467,Kriti Kamble,39,Marketing,82411.86
468,Amit Desai,36,Engineering,170646.78
469,Rohit Patel,37,HR,122198.3
470,Akanksha Khatri,21,Marketing,87758.5
471,Akanksha Kamble,56,HR,89531.13
472,Kriti Patel,49,HR,148598.89
473,Vaidehi Kamble,43,Engineering,74524.92
474,Sanjay Raina,27,Support,98210.09
475,Rohit Kamble,37,Engineering,100455.75
476,Sanjay Desai,64,HR,165712.16
477,Kavish Paraswar,54,Marketing,99050.11
478,Rohit Sharma,48,Finance,76506.67
479,Vaidehi Patel,18,Support,120792.09
480,Agnijeet Desai,31,Finance,77718.93
481,Vaidehi Kamble,57,Marketing,196922.92
482,Sanjay Paraswar,35,Marketing,185802.95
483,Kavish Sharma,63,Engineering,161590.16
484,Rohit Khatri,29,Support,48476.77
485,Rohit Khatri,60,Engineering,142704.17
486,Amit Desai,32,Finance,178243.69
487,Vaidehi Desai,53,Engineering,36418.22
488,Sanjay Khatri,33,HR,85640.94
489,Amit Raina,57,Finance,53980.89
490,Vaidehi Jain,47,HR,121334.95
491,Agnijeet Raina,27,Finance,133051.7
492,Rina Kamble,60,Engineering,103417.75
493,Kavish Kamble,65,Marketing,128480.94
494,Sanjay Raina,28,Support,64865.52
495,Rohit Paraswar,20,Sales,184926.15
496,Amit Raina,64,Engineering,80061.2
497,Sanjay Kamble,25,Support,137890.89
498,Kriti Raina,44,Finance,195689.86
499,Amit Raina,23,Support,67855.62
500,Akanksha Sharma,45,Sales,36796.65
501,Akanksha Desai,43,Marketing,90182.21
502,Amit Patel,23,Support,174577.85
503,Rina Raina,59,Finance,144525.53
504,Vaidehi Patel,63,Engineering,185236.61
505,Kriti Jain,20,HR,41381.83
506,Tara Jain,62,HR,29660.32
507,Sanjay Paraswar,37,Support,112628.34
508,Sanjay Jain,63,Marketing,30627.07
509,Agnijeet Khatri,34,Engineering,180530.09
510,Tara Patel,43,Sales,91900.68
511,Rina Paraswar,32,Engineering,105787.85
512,Vaidehi Patel,45,HR,73037.03
513,Tara Paraswar,64,Engineering,46159.29
514,Sanjay Raina,56,Marketing,42384.83
515,Kriti Paraswar,23,Finance,110329.52
516,Kriti Khatri,39,HR,151502.43
517,Rohit Kamble,62,Support,28013.06
518,Kriti Kamble,32,HR,51386.33
519,Amit Khatri,29,HR,43571.28
520,Rina Patel,42,HR,93069.26
521,Rohit Jain,21,Finance,45413.68
522,Akanksha Khatri,61,HR,135529.65
523,Tara Desai,51,Support,63076.92
524,Tara Raina,64,Engineering,155723.39
525,Rohit Patel,27,Sales,44439.44
526,Rina Sharma,19,Engineering,38645.52
527,Sanjay Kamble,41,Finance,190378.32
528,Tara Paraswar,27,Engineering,175753.91
529,Rohit Jain,35,Support,90484.26
530,Akanksha Khatri,56,Sales,40568.72
531,Akanksha Desai,34,Sales,68841.43
532,Kriti Raina,41,Support,120058.6
533,Kavish Jain,58,Engineering,49461.76
534,Amit Paraswar,52,Engineering,156363.09
535,Sanjay Sharma,32,Support,77557.22
536,Tara Jain,34,Finance,163069.33
537,Sanjay Paraswar,30,Engineering,50838.4
538,Sanjay Kamble,38,Finance,181400.4
539,Agnijeet Jain,64,Engineering,81716.57
540,Sanjay Sharma,33,HR,103982.41
541,Akanksha Desai,51,Marketing,49581.76
542,Akanksha Patel,57,Engineering,135271.72
543,Rina Patel,41,Marketing,46194.1
544,Akanksha Desai,58,Finance,79273.45
545,Tara Jain,29,Sales,45663.66
546,Akanksha Khatri,22,Engineering,53176.72
547,Vaidehi Desai,31,HR,160510.66
548,Rina Jain,51,Sales,178181.35
549,Rohit Patel,31,Support,171844.64
550,Rina Raina,65,Marketing,56800.72
551,Rohit Khatri,54,Finance,132316.67
552,Rina Paraswar,52,Finance,79501.0
553,Tara Jain,54,Marketing,168153.55
554,Kriti Kamble,47,HR,196234.46
555,Sanjay Patel,55,Finance,76241.68
556,Kavish Raina,41,Finance,115169.92
557,Rohit Raina,59,Engineering,193999.97
558,Rina Khatri,24,HR,140102.15
559,Rohit Desai,62,Finance,102620.97
560,Agnijeet Paraswar,45,Sales,23897.59
561,Rina Khatri,30,Marketing,63054.53
562,Amit Paraswar,38,HR,98762.39
563,Akanksha Khatri,57,Sales,175362.41
564,Sanjay Sharma,24,Support,176465.15
565,Agnijeet Khatri,51,Marketing,193739.11
566,Tara Kamble,45,Engineering,71008.68
567,Akanksha Patel,44,HR,74295.14
568,Kavish Khatri,50,Marketing,152987.83
569,Rina Khatri,65,Finance,122982.07
570,Amit Jain,23,Marketing,136469.29
571,Akanksha Kamble,26,Marketing,121869.78
572,Agnijeet Sharma,27,Finance,129927.05
573,Agnijeet Desai,41,Sales,141337.64
574,Sanjay Raina,52,Engineering,168424.92
575,Amit Sharma,22,Finance,170663.21
576,Kriti Jain,52,HR,159473.7
577,Rina Jain,61,Finance,46649.21
578,Akanksha Sharma,48,Sales,188120.93
579,Sanjay Khatri,63,Support,35333.02
580,Kriti Patel,57,Finance,98881.76
581,Agnijeet Desai,37,Marketing,116647.64
582,Kriti Jain,61,Finance,48053.02
583,Tara Sharma,39,Support,142771.91
584,Sanjay Kamble,38,HR,30908.96
585,Akanksha Kamble,49,Marketing,188280.87
586,Sanjay Jain,20,HR,52306.92
587,Amit Paraswar,37,Marketing,55364.13
588,Kriti Patel,47,Support,166351.95
589,Vaidehi Jain,27,Sales,134018.1
590,Kavish Raina,35,HR,48266.42
591,Rohit Patel,31,Finance,87482.6
592,Vaidehi Raina,27,Engineering,153234.74
593,Tara Khatri,43,Marketing,145650.08
594,Akanksha Kamble,33,HR,31146.7
595,Agnijeet Desai,21,Finance,83519.69
596,Sanjay Kamble,37,Support,118930.51
597,Vaidehi Kamble,47,Support,147108.68
598,Rohit Kamble,47,Engineering,138541.3
599,Sanjay Patel,50,Finance,107390.42
600,Vaidehi Patel,25,Marketing,99805.13
601,Amit Patel,52,HR,161332.75
602,Amit Paraswar,31,Finance,71737.5
603,Kriti Raina,33,Engineering,183756.54
604,Vaidehi Patel,21,Engineering,127275.9
605,Rina Paraswar,53,Finance,131676.32
606,Kriti Desai,19,Finance,24431.09
607,Sanjay Khatri,20,Support,83996.03
608,Kavish Kamble,33,Engineering,145633.6
609,Vaidehi Desai,43,Support,51687.57
610,Vaidehi Patel,23,HR,95379.02
611,Kriti Desai,62,Sales,65657.09
612,Rina Patel,19,Marketing,55351.81
613,Kriti Khatri,30,Marketing,76745.69
614,Akanksha Desai,55,HR,185787.39
615,Tara Paraswar,41,Finance,121702.7
616,Tara Patel,56,Sales,192815.31
617,Sanjay Jain,47,Support,66725.23
618,Akanksha Sharma,27,Support,60457.66
619,Amit Sharma,52,Sales,99924.52
620,Amit Kamble,25,Engineering,50307.99
621,Kavish Sharma,26,Support,102509.52
622,Sanjay Kamble,21,HR,98688.66
623,Akanksha Desai,58,Support,172384.96
624,Rohit Sharma,29,Sales,82103.79
625,Vaidehi Jain,45,Sales,131847.97
626,Amit Kamble,54,Finance,186291.84
627,Rina Khatri,42,Engineering,135641.26
628,Akanksha Patel,20,Sales,188494.51
629,Agnijeet Paraswar,46,HR,26219.24
630,Amit Kamble,55,Support,141732.98
631,Rina Raina,64,HR,52557.76
632,Sanjay Paraswar,61,HR,142755.62
633,Kavish Desai,56,Support,110771.8
634,Kavish Patel,42,Support,97235.73
635,Rina Jain,35,Finance,26884.68
636,Vaidehi Patel,39,Support,143133.02
637,Amit Patel,51,Finance,173924.45
638,Kavish Kamble,64,Marketing,110262.53
639,Rohit Khatri,19,Engineering,55518.83
